"key","variant","english","hindi","notes"
"greeting","0","Good morning! I am Saathi. We have {count} tasks today.","सुप्रभात! मैं साथी हूँ। आज हमारे पास {count} काम हैं।",""
"greeting","1","Good morning! Saathi here. {count} tasks lined up for today.","सुप्रभात! साथी बोल रहा हूँ। आज {count} काम तय हैं।",""
"greeting","2","Morning! I am Saathi, your companion. Today we have {count} tasks.","नमस्कार! मैं आपका साथी हूँ। आज हमें {count} काम करने हैं।",""
"shift_hello","0","Hello! I am Saathi, with you on machine {machine_id}.","नमस्ते! मैं साथी हूँ, मशीन {machine_id} पर आपके साथ।",""
"shift_hello","1","Welcome to machine {machine_id}. I am Saathi, I will be with you this shift.","मशीन {machine_id} पर आपका स्वागत है। मैं साथी हूँ, इस शिफ्ट में आपके साथ रहूँगा।",""
"shift_hello","2","Hi, Saathi here on machine {machine_id}. Let us have a safe shift.","नमस्ते, मैं साथी, मशीन {machine_id} पर। चलिए, शिफ्ट सुरक्षित रखें।",""
"task_card","0","Task {n}: {task_type}, about {predicted_min} minutes.","काम {n}: {task_type}, लगभग {predicted_min} मिनट।",""
"task_card","1","Number {n} is {task_type}. It should take about {predicted_min} minutes.","नंबर {n}: {task_type}। इसमें लगभग {predicted_min} मिनट लगेंगे।",""
"task_card","2","Task {n} is {task_type}; plan for about {predicted_min} minutes.","काम {n} है {task_type}; लगभग {predicted_min} मिनट मानकर चलिए।",""
"heat_today","0","It will get hot today, up to {max_temp} degrees.","आज गर्मी ज़्यादा होगी, {max_temp} डिग्री तक।",""
"heat_today","1","A hot day ahead, up to {max_temp} degrees in the afternoon.","आज दिन गर्म रहेगा, दोपहर में {max_temp} डिग्री तक।",""
"heat_today","2","The temperature will climb to {max_temp} degrees today.","आज तापमान {max_temp} डिग्री तक पहुँचेगा।",""
"rain_today","0","There is light rain this morning.","आज सुबह हल्की बारिश है।",""
"rain_today","1","Light rain this morning, so the ground may be soft.","सुबह हल्की बारिश है, ज़मीन नरम हो सकती है।",""
"rain_today","2","Expect some light rain early today.","आज सुबह थोड़ी बारिश होने की उम्मीद है।",""
"plan_order","0","Suggested order: {order}.","सुझाया गया क्रम: {order}।",""
"plan_order","1","I suggest this order: {order}.","मेरा सुझाव है यह क्रम: {order}।",""
"plan_order","2","Best order for today: {order}.","आज के लिए सबसे अच्छा क्रम: {order}।",""
"breaks_planned","0","Breaks at {hours} o'clock.","आराम का समय: {hours} बजे।",""
"breaks_planned","1","I have planned breaks at {hours} o'clock.","मैंने {hours} बजे आराम रखा है।",""
"breaks_planned","2","Rest breaks at {hours} o'clock. Please take them.","आराम {hours} बजे है। ज़रूर लीजिए।",""
"memory_incident","0","Note from the last shift on this machine: {category} was reported. Stay alert.","पिछली शिफ्ट का संदेश: इस मशीन पर {category} दर्ज हुआ था। सावधान रहें।",""
"pretask_estimate","0","{task_type}, {weather}. CAT estimate {cat_min} minutes, I expect about {predicted_min} minutes.","{task_type}, {weather}। CAT का अनुमान {cat_min} मिनट, मेरा अनुमान लगभग {predicted_min} मिनट।",""
"pretask_estimate","1","Now {task_type}, weather: {weather}. The CAT estimate is {cat_min} minutes; mine is about {predicted_min}.","अब {task_type}, मौसम: {weather}। CAT का अनुमान {cat_min} मिनट है; मेरा अनुमान लगभग {predicted_min} मिनट।",""
"pretask_estimate","2","Next up: {task_type}, {weather}. Plan for about {predicted_min} minutes instead of the CAT {cat_min}.","अगला काम: {task_type}, {weather}। CAT के {cat_min} मिनट की जगह लगभग {predicted_min} मिनट मानकर चलिए।",""
"warn.rain_slippery","0","The ground is slippery after rain. Move slowly and carefully during {task_type}.","बारिश से ज़मीन फिसलन भरी है। {task_type} के समय धीरे और सावधानी से चलें।",""
"warn.rain_trench_edge","0","Keep the machine at least {distance_m} metres back from the trench edge.","मशीन को खाई के किनारे से कम से कम {distance_m} मीटर पीछे रखें।",""
"warn.wind_caution","0","Strong wind today. Take extra care with {task_type} and any lifting.","आज तेज़ हवा है। {task_type} और किसी भी उठाने के काम में ख़ास सावधानी रखें।",""
